JobIDRaw|Start|Elapsed|AllocTRES|State
3657403|2025-02-23T02:20:49|00:03:27|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657403.batch|2025-02-23T02:20:49|00:03:27|cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657403.extern|2025-02-23T02:20:49|00:03:28|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657408|2025-02-23T02:31:46|00:15:04|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657408.batch|2025-02-23T02:31:46|00:15:04|cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657408.extern|2025-02-23T02:31:46|00:15:05|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657431|2025-02-23T02:56:53|00:11:18|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657431.batch|2025-02-23T02:56:53|00:11:18|cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657431.extern|2025-02-23T02:56:53|00:11:18|billing=100,cpu=16,gres/gpu:a40=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657434|2025-02-23T03:06:24|00:07:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657434.batch|2025-02-23T03:06:24|00:07:25|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657434.extern|2025-02-23T03:06:24|00:07:25|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657449|2025-02-23T03:38:24|00:03:11|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657449.batch|2025-02-23T03:38:24|00:03:11|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657449.extern|2025-02-23T03:38:24|00:03:12|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657458|2025-02-23T03:45:08|00:35:57|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657458.extern|2025-02-23T03:45:08|00:35:58|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657462|2025-02-23T03:54:34|00:00:14|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657462.batch|2025-02-23T03:54:34|00:00:14|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|FAILED
3657462.extern|2025-02-23T03:54:34|00:00:14|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657474|2025-02-23T04:14:57|00:00:12|billing=1032,cpu=40,gres/gpu:a100=8,gres/gpu=8,mem=500G,node=2|FAILED
